ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length_minutes,day_of_week,hour_of_day,month,season,is_weekend,trip_distance_km,is_round_trip,is_extreme_duration
84F9869D80DEA9ED,electric_bike,2026-04-01 00:31:00,2026-04-01 00:32:00,,,,,41.94,-87.65,41.94,-87.65,casual,1.0,4,0,4,Spring,False,0.0,True,False
93B54C808514B041,electric_bike,2026-04-01 00:18:00,2026-04-01 00:32:00,,,,,41.9,-87.62,41.93,-87.65,member,14.0,4,0,4,Spring,False,4.158103644234421,False,False
B17FD2EF9789238A,electric_bike,2026-04-01 00:22:00,2026-04-01 00:33:00,Spaulding Ave & Milwaukee Ave,CHI02180,,,41.93089,-87.71072,41.93,-87.67,member,11.0,4,0,4,Spring,False,3.3699826775106008,False,False
96E5ACCBC51F8BAA,classic_bike,2026-04-01 00:30:00,2026-04-01 00:35:00,University Ave & 57Th St,CHI00551,Griffin Museum Of Science And Industry,CHI00574,41.791478,-87.599861,41.79172821,-87.58394501,member,5.0,4,0,4,Spring,False,1.3197926789446912,False,False
8D8F08E49A4253C5,electric_bike,2026-04-01 00:33:00,2026-04-01 00:37:00,,,,,41.97,-87.66,41.97,-87.65,member,4.0,4,0,4,Spring,False,0.826728807851056,False,False
98F72D5B6D328AD6,classic_bike,2026-04-01 00:07:00,2026-04-01 00:38:00,Broadway & Cornelia Ave,CHI00430,Broadway & Roscoe Ave,CHI02153,41.945529,-87.646439,41.9436,-87.64532,member,31.0,4,0,4,Spring,False,0.23360912150433052,False,False
1297AA421C0864A2,electric_bike,2026-04-01 00:31:00,2026-04-01 00:38:00,Wabash Ave & Roosevelt Rd,CHI00524,Halsted St & Roosevelt Rd,CHI00364,41.867227,-87.625961,41.867324,-87.648625,casual,7.0,4,0,4,Spring,False,1.876747706434152,False,False
C429D111F78E3528,classic_bike,2026-04-01 00:37:00,2026-04-01 00:41:00,Wells St & Hubbard St,CHI00332,Sedgwick St & Huron St,CHI00241,41.889906,-87.634266,41.894666,-87.638437,member,4.0,4,0,4,Spring,False,0.6319354957192502,False,False
5B08BF955ABA6291,electric_bike,2026-04-01 00:33:00,2026-04-01 00:43:00,,,Rockwell St & Division St,CHI02183,41.92,-87.71,41.90275,-87.69202,member,10.0,4,0,4,Spring,False,2.4275050106214033,False,False
324687B6ED3B4175,classic_bike,2026-04-01 00:41:00,2026-04-01 00:44:00,Sheffield Ave & Waveland Ave,CHI00310,Sheffield Ave & Addison St,CHI02054,41.949399,-87.654529,41.947017,-87.654418,member,3.0,4,0,4,Spring,False,0.26502534636097064,False,False
24F0DFECA2633B07,electric_bike,2026-04-01 00:33:00,2026-04-01 00:45:00,Paulina St & Division St,CHI00244,,,41.9035529,-87.6704292,41.93,-87.7,casual,12.0,4,0,4,Spring,False,3.825541310520464,False,False
CB6FAAA4415E5A81,electric_bike,2026-04-01 00:43:00,2026-04-01 00:47:00,Morgan St & Polk St,CHI00372,Loomis St & Lexington St,CHI00238,41.871737,-87.65103,41.87222873,-87.66136386,casual,4.0,4,0,4,Spring,False,0.8573885503911127,False,False
3C156C49A95B8D0F,classic_bike,2026-04-01 00:45:00,2026-04-01 00:47:00,Western Ave & Winnebago Ave,CHI00282,Milwaukee Ave & Wabansia Ave,CHI00005,41.91552,-87.687022,41.912616,-87.681469,member,2.0,4,0,4,Spring,False,0.5616028220418452,False,False
AAC0C30FD55FF840,electric_bike,2026-04-01 00:42:00,2026-04-01 00:48:00,,,Pine Grove Ave & Irving Park Rd,CHI00482,41.94,-87.65,41.9543646,-87.6479285,casual,6.0,4,0,4,Spring,False,1.6064318953212156,False,False
70C0B6E1ED13FDA2,electric_bike,2026-04-01 00:38:00,2026-04-01 00:49:00,Canal St & Jackson Blvd,CHI00521,Sedgwick St & North Ave,CHI00257,41.878125,-87.639968,41.910983,-87.638525,casual,11.0,4,0,4,Spring,False,3.65559460423818,False,False
8ABC4EF51338F292,electric_bike,2026-04-01 00:49:00,2026-04-01 00:50:00,Wilton Ave & Addison St,CHI02055,Sheffield Ave & Addison St,CHI02054,41.947459,-87.653216,41.947017,-87.654418,member,1.0,4,0,4,Spring,False,0.11089432912437285,False,False
E278C7C37CC7232F,electric_bike,2026-04-01 00:45:00,2026-04-01 00:51:00,Dorchester Ave & 53Rd St,CHI02171,,,41.79943,-87.59227,41.79,-87.59,member,6.0,4,0,4,Spring,False,1.0653206142068259,False,False
6A7279B7E2F528C7,electric_bike,2026-04-01 00:42:00,2026-04-01 00:52:00,Damen Ave & Division St,CHI00318,Central Park Ave & North Ave,CHI00637,41.903266,-87.678435,41.90965688,-87.71663195,casual,10.0,4,0,4,Spring,False,3.2398949490548494,False,False
7499A87718A21F8C,electric_bike,2026-04-01 00:47:00,2026-04-01 00:54:00,Aberdeen St & Carroll Ave,CHI02056,Ogden Ave & Congress Pkwy,CHI00305,41.88819,-87.65459,41.87501,-87.67328,member,7.0,4,0,4,Spring,False,2.1311891352504437,False,False
24873296FA2EAFED,classic_bike,2026-04-01 00:42:00,2026-04-01 00:54:00,Halsted St & Archer Ave,CHI00426,Michigan Ave & 18Th St,CHI00243,41.847203,-87.646795,41.857926,-87.624336,member,12.0,4,0,4,Spring,False,2.209504985204102,False,False
BD357C0D3810D356,electric_bike,2026-04-01 00:47:00,2026-04-01 00:55:00,Lasalle St & Jackson Blvd,CHI00447,May St & Taylor St,CHI00322,41.878166,-87.631929,41.86938,-87.6555,member,8.0,4,0,4,Spring,False,2.1824944786233273,False,False
DED48F50400FC3D9,electric_bike,2026-04-01 00:53:00,2026-04-01 00:55:00,Broadway & Waveland Ave,CHI00496,,,41.949074,-87.648636,41.94,-87.65,member,2.0,4,0,4,Spring,False,1.0152696745468142,False,False
D0662C84CDEC2085,electric_bike,2026-04-01 00:45:00,2026-04-01 00:56:00,Clark St & Fletcher St,CHI02137,Marine Dr & Ainslie St,CHI00617,41.93894,-87.65031,41.9716,-87.650154,member,11.0,4,0,4,Spring,False,3.6316492151868327,False,False
BDC8449CE76A14C3,electric_bike,2026-04-01 00:50:00,2026-04-01 00:57:00,Spaulding Ave & Armitage Ave,CHI00635,,,41.91710803,-87.71022096,41.91,-87.68,member,7.0,4,0,4,Spring,False,2.622599590840633,False,False
